SIZE 24X24
LAYER 1
01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01
01,02,02,02,02,02,02,02,02,02,02,00,00,00,00,00,00,00,00,00,00,00,00,00
01,13,13,00,00,00,00,00,05,05,02,00,00,00,00,00,00,00,00,00,00,00,00,00
01,00,13,00,00,00,00,00,00,05,02,07,07,07,07,07,07,07,07,07,07,07,07,07
01,00,13,00,00,00,00,00,00,05,02,02,02,02,02,02,02,02,02,02,02,02,02,07
01,00,13,00,00,00,00,00,00,05,05,05,05,05,05,05,05,05,00,00,00,00,02,07
01,00,13,00,00,00,00,00,00,00,00,00,00,00,00,00,00,05,00,00,00,00,02,07
01,00,13,03,03,03,03,03,03,03,03,03,03,03,03,03,03,09,09,09,09,09,02,07
01,00,13,13,13,13,13,13,04,04,04,04,04,04,00,00,03,09,00,00,00,00,02,07
01,04,04,04,04,04,04,04,04,00,00,00,00,00,00,00,03,09,00,00,00,00,02,07
01,04,08,08,08,08,08,08,08,08,08,00,00,00,00,00,03,09,00,00,00,00,02,07
01,04,00,00,00,00,00,00,00,00,08,00,00,00,00,00,03,09,00,00,00,00,02,07
01,04,04,04,06,06,06,06,06,06,08,00,00,00,00,00,03,09,00,00,00,00,02,07
01,00,00,04,04,04,04,00,00,06,08,00,00,00,00,00,03,09,00,00,00,00,02,02
01,00,00,00,00,00,04,00,00,06,06,06,06,06,00,00,03,09,00,00,00,00,00,02
01,00,00,00,00,00,04,00,00,00,00,00,00,06,00,00,03,09,10,10,00,00,00,02
01,09,09,09,09,09,09,09,09,09,09,09,09,06,09,09,09,09,10,14,00,00,00,02
01,09,00,00,00,11,11,11,11,11,11,11,09,06,09,00,10,10,10,14,00,00,00,02
01,09,00,00,00,00,00,00,00,00,00,11,09,06,09,00,10,14,14,14,00,00,00,02
01,09,00,00,00,12,12,12,12,12,12,11,09,09,09,00,10,14,00,00,00,00,00,02
01,09,00,00,00,00,00,00,00,00,12,11,11,11,11,11,10,14,00,00,00,00,00,02
01,09,00,00,00,00,00,00,00,00,12,12,12,12,12,11,10,14,15,15,15,15,15,02
01,09,09,00,00,00,00,00,00,00,00,00,00,00,00,10,10,14,15,00,00,00,00,02
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,14,15,00,00,00,00,02
