SIZE 28X36
LAYER 1
00,01,01,01,01,01,01,01,00,00,00,00,00,09,09,09,09,09,09,09,09,09,09,09,09,09,09,09
00,01,02,02,02,02,02,02,00,00,00,00,00,00,00,00,00,00,10,10,10,10,10,00,00,00,00,09
00,01,02,00,00,03,03,03,00,00,00,00,00,10,10,10,10,10,10,11,11,11,10,10,10,10,00,09
00,01,02,00,00,03,04,04,00,00,00,00,00,00,00,11,11,11,11,11,14,11,11,11,11,10,00,09
00,01,01,01,01,03,04,05,05,05,05,00,00,00,00,00,00,00,00,00,14,00,00,00,11,10,00,09
00,00,00,00,03,03,04,06,06,06,05,00,00,00,00,00,00,00,00,00,14,14,14,00,11,10,00,09
00,00,00,00,03,00,04,07,07,06,05,00,00,00,00,15,15,15,15,15,15,15,14,00,11,10,00,09
08,00,00,00,03,00,04,08,07,06,05,00,16,16,18,18,18,18,18,17,16,15,14,00,11,10,00,09
08,08,08,08,08,08,08,08,07,06,05,00,16,00,18,17,00,00,00,17,16,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,07,06,05,00,16,18,18,17,17,17,17,17,16,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,07,06,05,00,16,16,16,16,16,16,16,16,16,00,00,25,00,00,00,00
00,00,00,00,00,00,00,07,07,06,05,00,00,00,00,00,00,00,00,00,00,00,00,25,00,00,00,00
00,00,00,00,00,00,00,00,06,06,00,00,00,00,00,00,00,20,20,00,00,23,00,25,00,00,00,00
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,00,27,20,00,00,00,23,00,25,00,00,00,00
00,00,00,27,27,27,27,27,27,27,27,27,27,27,27,27,27,20,00,00,00,23,00,25,00,00,00,00
00,00,00,27,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,00,25,00,00,00,00
00,00,00,27,20,00,28,00,00,00,00,00,00,00,00,00,00,00,23,00,00,00,00,25,00,00,00,00
00,00,00,00,20,00,28,00,00,00,00,00,00,00,00,00,00,00,23,00,25,25,25,25,00,00,00,00
00,00,00,00,20,00,28,00,00,00,00,00,00,00,00,00,00,00,23,24,25,00,24,00,00,00,00,00
00,00,00,00,00,00,28,00,00,00,00,00,00,00,00,00,00,00,23,24,24,24,24,00,00,00,00,00
00,00,00,00,00,29,28,00,00,00,00,00,00,00,00,00,00,00,23,29,00,00,00,00,00,00,00,00
00,30,00,00,00,29,28,28,28,28,28,28,28,28,28,00,00,00,23,29,00,00,00,00,00,00,00,00
00,30,00,00,00,29,29,29,29,29,29,29,29,29,29,29,29,29,23,29,00,00,00,00,00,00,00,00
00,30,30,30,30,30,30,30,30,30,30,30,30,30,30,00,00,29,23,29,00,00,00,00,00,00,00,00
00,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,29,23,29,00,00,00,00,00,00,00,00
00,31,22,22,22,22,22,22,22,22,22,22,22,00,00,00,00,29,29,29,00,00,00,00,00,00,00,00
00,31,22,00,21,21,21,21,21,21,21,21,21,21,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,31,22,00,21,00,00,00,00,19,19,19,19,19,19,00,00,00,00,00,00,00,00,00,00,00,00,00
00,31,22,00,21,00,00,00,00,19,00,00,00,00,00,00,00,13,13,13,13,00,00,00,00,00,00,00
00,31,22,00,21,00,00,00,00,19,00,00,00,00,00,00,00,00,00,12,13,00,00,00,00,00,00,00
22,31,22,00,21,00,00,00,00,19,00,00,00,00,00,00,00,00,00,12,13,00,00,00,00,00,00,00
22,31,22,00,21,00,00,00,00,19,00,00,00,00,00,00,00,00,00,12,13,00,00,00,00,00,00,00
22,22,22,00,21,00,00,00,00,19,12,12,12,12,12,12,12,12,12,12,13,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,19,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,19,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,13,13,13,13,13,13,13,13,13,13,13,00,00,00,00,00,00,00
