SIZE 20X20
LAYER 1
16,16,16,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01
01,01,01,01,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,01
01,02,03,04,05,06,06,06,06,06,06,06,06,06,06,06,06,06,05,01
02,02,03,04,08,08,08,08,08,08,08,08,08,08,08,08,08,06,05,01
02,03,03,04,08,07,07,07,07,07,07,07,07,07,07,07,08,06,05,01
02,03,04,04,08,07,14,14,14,14,14,11,11,11,11,08,08,06,05,01
02,03,04,08,08,07,14,13,13,13,14,12,12,12,11,09,09,06,05,01
02,03,04,08,07,07,14,13,15,13,14,13,13,12,11,10,09,06,05,01
02,03,04,08,07,14,14,13,15,13,14,14,13,12,11,10,09,06,05,01
02,03,04,08,07,13,13,13,15,13,13,13,13,12,11,10,09,06,05,01
02,03,04,08,07,12,12,12,12,12,12,12,12,12,11,10,09,06,05,01
02,03,04,08,07,11,11,11,11,11,11,11,11,11,11,10,09,06,05,01
02,03,04,08,07,10,10,10,10,10,10,10,10,10,10,10,09,06,05,01
02,03,04,08,07,09,09,09,09,09,09,09,09,09,09,09,09,06,05,01
02,03,04,08,07,08,08,18,18,18,18,18,18,18,06,06,06,06,05,01
02,03,04,08,07,07,08,18,19,19,19,19,19,19,06,05,05,05,05,01
02,03,04,08,08,08,08,18,18,18,18,18,18,18,06,05,04,03,02,01
02,03,04,04,04,04,04,04,04,04,04,04,04,04,04,04,04,03,02,17
02,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,02,17
02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,17

