SIZE 32X32
LAYER 1
23,24,25,26,27,28,29,30,30,30,31,32,33,34,35,36,37,38,38,39,39,40,41,41,42,43,43,44,44,45,46,47
23,24,25,26,27,28,29,29,29,30,31,32,33,34,35,36,37,37,38,38,39,40,40,41,42,42,43,43,44,45,46,47
23,24,25,26,27,28,28,28,29,30,31,32,33,34,35,36,36,37,37,38,39,39,40,41,41,42,42,43,44,45,46,47
23,24,25,26,27,27,27,28,29,30,31,32,33,34,35,35,36,04,37,38,07,39,40,09,41,41,42,43,44,45,46,47
23,24,25,26,26,01,27,28,29,30,31,32,33,34,34,35,04,04,37,38,07,39,40,09,09,41,42,43,44,45,46,47
23,24,25,25,26,01,27,28,29,30,31,32,33,33,34,04,04,37,37,38,07,39,39,41,41,41,42,43,44,45,46,47
23,24,24,25,26,01,27,28,29,30,31,32,32,33,04,04,37,37,38,38,07,07,39,39,39,42,42,43,44,45,46,47
23,23,24,25,26,01,27,28,29,30,31,31,32,04,04,05,37,38,38,06,06,06,06,06,39,42,43,43,44,45,46,47
02,23,24,25,26,01,27,28,29,30,03,31,04,04,37,05,37,38,49,49,49,08,39,39,39,42,43,44,44,45,46,47
02,23,24,25,26,01,27,28,29,30,03,31,53,38,37,05,37,38,51,50,49,08,42,42,42,42,43,44,45,45,46,47
02,23,24,25,26,01,27,28,29,30,03,31,53,38,37,05,37,38,51,50,49,08,08,43,43,43,43,44,45,46,46,47
02,23,24,25,26,01,27,28,29,30,03,31,53,38,37,05,37,38,51,50,49,49,08,44,44,44,44,44,45,46,47,47
02,23,24,25,26,01,27,28,29,30,03,31,53,38,37,05,37,38,51,50,50,49,08,45,45,45,45,45,45,46,47,48
02,23,24,25,25,01,27,28,29,29,03,31,53,38,37,05,37,38,51,51,50,49,08,08,46,46,46,46,46,46,47,48
02,23,24,24,24,01,27,28,28,28,03,31,53,38,37,05,37,38,52,51,50,49,49,08,47,47,47,47,47,47,47,48
02,23,23,23,23,01,27,27,27,27,03,31,53,38,37,05,37,38,52,51,50,50,49,08,08,48,48,48,48,48,48,48
02,02,02,02,02,02,02,02,02,02,03,31,53,38,37,05,37,38,52,51,51,50,49,49,08,08,49,49,49,49,49,49
31,31,31,31,31,31,31,31,31,31,31,31,53,38,37,37,37,38,52,52,51,50,50,49,49,49,49,50,50,50,50,50
31,53,54,53,53,53,53,53,53,53,53,53,53,38,38,38,38,38,58,52,51,51,50,50,50,50,50,50,51,51,51,51
31,53,54,53,11,58,58,58,58,58,58,58,58,58,58,58,58,58,58,52,52,51,51,51,51,51,51,51,51,52,52,52
31,53,53,53,11,57,57,57,57,59,59,59,61,61,61,61,61,17,70,70,52,52,52,52,52,52,52,52,52,52,78,78
31,10,10,10,10,10,10,10,57,14,14,59,61,62,15,66,61,17,71,71,71,71,71,71,71,72,19,19,78,78,78,20
31,56,55,55,12,57,57,57,57,59,14,59,61,62,15,66,61,17,16,16,16,16,16,16,71,72,76,19,78,79,80,20
31,56,55,13,12,57,60,60,60,59,59,59,61,62,15,66,16,16,16,71,71,71,71,16,71,72,76,77,78,79,80,20
31,56,13,13,12,57,60,61,61,61,61,61,61,15,15,66,67,18,71,71,72,72,71,71,71,72,76,77,78,78,20,20
31,56,13,21,12,57,60,61,64,64,64,64,63,15,66,66,67,18,71,73,73,72,72,72,72,72,76,77,77,77,20,81
31,56,13,21,12,57,60,61,64,65,65,63,63,15,66,67,67,18,18,73,75,75,75,75,75,75,76,76,76,77,20,81
31,13,13,21,12,57,60,61,64,64,64,63,15,15,66,67,68,69,18,73,74,74,73,73,73,75,75,75,76,20,20,81
31,13,21,21,12,57,60,61,15,15,63,63,15,66,66,67,68,69,18,73,73,73,73,18,73,20,20,75,75,20,82,81
31,13,22,22,12,57,60,61,61,15,15,15,15,66,67,67,68,68,18,18,18,18,18,18,73,73,20,20,20,20,82,81
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
