SIZE 15X10X3
LAYER 1
15,15,15,02,02,02,02,08,08,26,26,26,27,27,27
15,18,18,02,03,03,02,02,08,08,08,26,26,26,26
15,18,02,02,03,25,25,16,16,16,16,02,02,02,02
15,18,40,40,03,02,02,02,20,20,16,02,33,33,33
15,18,03,03,03,02,44,02,16,20,16,02,02,02,02
15,15,03,19,19,02,44,02,16,16,02,04,04,04,02
00,15,15,09,19,02,06,02,02,02,02,04,35,04,02
05,05,05,09,09,02,06,06,06,06,06,35,35,04,02
05,36,05,43,09,02,02,00,04,04,04,04,04,04,02
05,36,05,43,09,09,02,02,02,02,02,02,02,02,02
LAYER 2
22,22,22,22,05,03,03,03,03,03,00,31,02,32,00
22,05,05,05,05,03,47,02,45,03,31,31,02,02,01
05,05,02,25,00,25,11,11,11,03,28,28,28,28,03
05,14,14,25,25,25,11,00,11,03,03,03,03,03,03
05,14,41,14,00,01,11,11,16,16,16,21,21,10,46
05,14,41,14,14,01,06,06,06,06,02,00,21,10,46
05,14,15,09,14,01,06,30,30,30,06,04,21,10,10
24,14,00,17,14,01,01,30,01,01,01,01,21,21,10
24,14,17,17,14,29,01,01,01,12,12,01,39,39,10
05,14,14,14,14,02,12,12,12,12,00,01,01,10,10
LAYER 3
02,02,02,02,02,01,01,01,01,01,02,02,02,32,32
02,48,09,09,02,01,47,02,45,01,02,42,42,02,01
02,48,02,09,02,01,02,02,01,01,02,23,23,02,01
02,02,02,09,02,01,02,01,01,04,02,23,38,02,01
13,13,13,09,02,01,02,01,04,04,02,21,38,02,01
13,15,15,09,02,37,02,01,04,06,02,21,34,02,01
05,00,15,09,02,37,02,01,04,06,06,04,34,02,01
05,05,05,05,02,29,02,01,04,04,04,04,34,02,01
24,24,24,05,02,29,02,02,02,02,02,02,02,02,01
05,05,05,05,02,02,12,07,07,07,07,07,01,01,01
