SIZE 18X28
01,01,01,01,01,01,00,00,00,00,00,00,00,00,00,00,00,00
01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
01,02,02,02,02,02,00,00,00,00,00,00,00,00,00,00,00,00
01,02,00,00,00,03,03,03,03,03,03,03,03,03,03,03,03,03
01,02,00,00,00,03,04,04,04,04,04,04,04,04,04,04,04,03
01,02,00,00,00,04,04,00,00,00,00,00,00,00,00,00,04,03
01,02,00,00,00,04,05,05,05,05,05,05,05,05,05,05,04,03
01,02,00,00,00,05,05,11,11,11,11,11,11,00,00,05,04,03
01,02,00,00,00,05,11,11,00,00,00,00,00,00,00,05,04,03
01,02,11,11,11,11,11,00,00,00,00,00,10,10,10,05,04,03
01,02,11,06,06,06,00,00,00,00,00,00,00,00,10,05,04,03
01,02,11,06,09,09,09,09,09,09,09,09,09,00,10,05,04,03
01,02,11,06,09,07,07,07,07,07,07,07,00,00,10,05,04,03
01,02,11,06,09,00,00,00,00,00,00,07,08,08,10,05,04,03
01,02,11,06,09,08,08,08,08,08,08,07,07,08,10,05,04,03
01,02,11,06,09,09,00,00,00,00,08,08,07,08,10,05,04,03
01,02,11,06,06,09,00,00,00,00,00,08,08,08,10,05,04,03
01,02,11,11,06,06,06,06,06,06,06,06,06,10,10,05,04,03
01,02,00,11,11,10,10,10,10,10,10,10,10,10,00,05,04,03
01,02,00,00,11,11,00,00,00,00,00,00,05,05,05,05,04,03
01,02,02,02,00,11,00,00,00,00,00,00,00,00,00,04,04,03
01,01,01,02,02,02,02,02,02,02,02,02,04,04,04,04,03,03
00,00,01,01,01,01,01,01,01,01,01,02,02,02,03,03,03,00
00,00,00,00,00,00,00,00,00,00,01,03,03,02,03,00,00,00
00,00,00,00,00,00,00,00,00,00,01,03,02,02,03,00,00,00
00,00,00,00,00,00,00,00,00,00,01,03,02,03,03,00,00,00
00,00,00,00,00,00,00,00,00,00,01,03,03,03,00,00,00,00
00,00,00,00,00,00,00,00,00,00,01,01,01,00,00,00,00,00
