SIZE 17X20
01,06,06,06,06,06,11,11,11,11,11,11,11,11,11,11,11
01,06,01,01,01,03,03,03,03,09,09,09,09,09,09,09,11
01,06,01,04,01,03,01,01,01,09,11,11,11,11,11,11,11
01,06,01,04,01,03,01,10,01,09,01,01,01,02,02,02,02
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,01,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,02,01,08,01
01,06,01,04,01,03,01,10,01,09,01,05,01,01,01,08,07
01,06,01,04,01,03,01,10,01,01,01,05,08,08,08,08,07
01,06,01,04,01,01,01,10,08,08,08,08,08,12,12,12,07
01,01,01,04,04,04,04,04,08,07,07,07,07,07,07,07,07
