SIZE 36X36
01,01,01,03,03,03,07,07,07,09,09,09,13,13,13,15,15,15,19,19,19,21,21,21,25,25,25,27,27,27,31,31,31,33,33,33
02,02,01,03,02,03,08,08,07,09,08,09,14,14,13,15,14,15,20,20,19,21,20,21,26,26,25,27,26,27,32,32,31,33,32,33
02,03,01,03,02,03,08,09,07,09,08,09,14,15,13,15,14,15,20,21,19,21,20,21,26,27,25,27,26,27,32,33,31,33,32,33
02,03,01,03,02,03,08,09,07,09,08,09,14,15,13,15,14,15,20,21,19,21,20,21,26,27,25,27,26,27,32,33,31,33,32,33
02,03,03,03,02,03,08,09,09,09,08,09,14,15,15,15,14,15,20,21,21,21,20,21,26,27,27,27,26,27,32,33,33,33,32,33
02,02,02,02,02,03,08,08,08,08,08,09,14,14,14,14,14,15,20,20,20,20,20,21,26,26,26,26,26,27,32,32,32,32,32,33
06,04,04,04,04,04,12,10,10,10,10,10,18,16,16,16,16,16,24,22,22,22,22,22,30,28,28,28,28,28,36,34,34,34,34,34
06,04,05,05,05,04,12,10,11,11,11,10,18,16,17,17,17,16,24,22,23,23,23,22,30,28,29,29,29,28,36,34,35,35,35,34
06,04,05,06,05,04,12,10,11,12,11,10,18,16,17,18,17,16,24,22,23,24,23,22,30,28,29,30,29,28,36,34,35,36,35,34
06,04,05,06,05,04,12,10,11,12,11,10,18,16,17,18,17,16,24,22,23,24,23,22,30,28,29,30,29,28,36,34,35,36,35,34
06,04,04,06,05,04,12,10,10,12,11,10,18,16,16,18,17,16,24,22,22,24,23,22,30,28,28,30,29,28,36,34,34,36,35,34
06,06,06,06,05,05,12,12,12,12,11,11,18,18,18,18,17,17,24,24,24,24,23,23,30,30,30,30,29,29,36,36,36,36,35,35
37,37,37,39,39,39,43,43,43,45,45,45,49,49,49,51,51,51,55,55,55,57,57,57,61,61,61,63,63,63,67,67,67,69,69,69
38,38,37,39,38,39,44,44,43,45,44,45,50,50,49,51,50,51,56,56,55,57,56,57,62,62,61,63,62,63,68,68,67,69,68,69
38,39,37,39,38,39,44,45,43,45,44,45,50,51,49,51,50,51,56,57,55,57,56,57,62,63,61,63,62,63,68,69,67,69,68,69
38,39,37,39,38,39,44,45,43,45,44,45,50,51,49,51,50,51,56,57,55,57,56,57,62,63,61,63,62,63,68,69,67,69,68,69
38,39,39,39,38,39,44,45,45,45,44,45,50,51,51,51,50,51,56,57,57,57,56,57,62,63,63,63,62,63,68,69,69,69,68,69
38,38,38,38,38,39,44,44,44,44,44,45,50,50,50,50,50,51,56,56,56,56,56,57,62,62,62,62,62,63,68,68,68,68,68,69
42,40,40,40,40,40,48,46,46,46,46,46,54,52,52,52,52,52,60,58,58,58,58,58,66,64,64,64,64,64,72,70,70,70,70,70
42,40,41,41,41,40,48,46,47,47,47,46,54,52,53,53,53,52,60,58,59,59,59,58,66,64,65,65,65,64,72,70,71,71,71,70
42,40,41,42,41,40,48,46,47,48,47,46,54,52,53,54,53,52,60,58,59,60,59,58,66,64,65,66,65,64,72,70,71,72,71,70
42,40,41,42,41,40,48,46,47,48,47,46,54,52,53,54,53,52,60,58,59,60,59,58,66,64,65,66,65,64,72,70,71,72,71,70
42,40,40,42,41,40,48,46,46,48,47,46,54,52,52,54,53,52,60,58,58,60,59,58,66,64,64,66,65,64,72,70,70,72,71,70
42,42,42,42,41,41,48,48,48,48,47,47,54,54,54,54,53,53,60,60,60,60,59,59,66,66,66,66,65,65,72,72,72,72,71,71
73,73,73,75,75,75,79,79,79,81,81,81,85,85,85,87,87,87,91,91,91,93,93,93,97,97,97,99,99,99,103,103,103,105,105,105
74,74,73,75,74,75,80,80,79,81,80,81,86,86,85,87,86,87,92,92,91,93,92,93,98,98,97,99,98,99,104,104,103,105,104,105
74,75,73,75,74,75,80,81,79,81,80,81,86,87,85,87,86,87,92,93,91,93,92,93,98,99,97,99,98,99,104,105,103,105,104,105
74,75,73,75,74,75,80,81,79,81,80,81,86,87,85,87,86,87,92,93,91,93,92,93,98,99,97,99,98,99,104,105,103,105,104,105
74,75,75,75,74,75,80,81,81,81,80,81,86,87,87,87,86,87,92,93,93,93,92,93,98,99,99,99,98,99,104,105,105,105,104,105
74,74,74,74,74,75,80,80,80,80,80,81,86,86,86,86,86,87,92,92,92,92,92,93,98,98,98,98,98,99,104,104,104,104,104,105
78,76,76,76,76,76,84,82,82,82,82,82,90,88,88,88,88,88,96,94,94,94,94,94,102,101,101,101,101,101,108,106,106,106,106,106
78,76,77,77,77,76,84,82,83,83,83,82,90,88,89,89,89,88,96,94,95,95,95,94,102,101,100,100,100,101,108,106,107,107,107,106
78,76,77,78,77,76,84,82,83,84,83,82,90,88,89,90,89,88,96,94,95,96,95,94,102,101,100,102,100,101,108,106,107,108,107,106
78,76,77,78,77,76,84,82,83,84,83,82,90,88,89,90,89,88,96,94,95,96,95,94,102,101,100,102,100,101,108,106,107,108,107,106
78,76,76,78,77,76,84,82,82,84,83,82,90,88,88,90,89,88,96,94,94,96,95,94,102,101,101,102,100,101,108,106,106,108,107,106
78,78,78,78,77,77,84,84,84,84,83,83,90,90,90,90,89,89,96,96,96,96,95,95,102,102,102,102,100,100,108,108,108,108,107,107
